age,income,loan_amount,credit_score,employment_years,existing_debt,num_credit_lines,default
59,26310.69,17154.96,698.0,4.3,485.54,8,0
49,33853.34,7484.15,526.0,2.4,2167.63,2,0
35,46357.53,11603.03,614.0,1.8,14919.03,14,0
63,86292.39,29584.97,600.0,9.7,4275.49,13,0
28,50064.99,18994.9,715.0,7.0,12770.93,7,0
41,45628.62,12282.28,526.0,2.1,1319.68,11,0
59,21530.3,18524.86,659.0,2.9,6340.4,5,1
39,41866.3,17141.31,463.0,5.9,12445.19,9,0
43,30341.27,8284.48,680.0,8.3,2925.66,7,0
31,34936.4,12049.53,660.0,5.8,14136.36,1,0
31,57399.01,33036.29,609.0,3.9,5838.29,1,0
44,46976.72,18136.02,764.0,15.4,8720.55,6,0
56,88989.89,2447.66,440.0,7.4,1984.02,9,0
60,76560.07,19081.68,649.0,0.6,3377.83,1,0
44,42822.32,25424.71,746.0,4.1,2935.15,3,0
23,36663.64,7764.97,660.0,2.6,4346.16,13,0
42,82652.84,11345.26,759.0,7.9,17277.22,5,0
22,88200.85,26630.17,614.0,0.2,14724.74,4,0
44,15000.0,15279.3,637.0,2.6,10710.8,1,1
64,56857.15,13856.97,749.0,1.9,4048.29,10,0
50,49962.43,4311.54,722.0,0.8,2947.53,4,0
58,67982.4,23564.53,842.0,2.4,2182.31,4,0
22,93853.36,13492.25,658.0,5.6,6177.0,11,0
41,45318.86,1000.0,666.0,2.2,9680.78,12,0
53,15000.0,2418.9,613.0,4.3,11685.63,10,0
32,66580.15,10507.36,634.0,4.5,8086.45,13,0
42,82799.28,6417.26,736.0,4.4,11392.69,4,0
64,48924.8,7672.31,650.0,3.8,13615.71,3,0
45,40899.25,33757.36,585.0,0.6,5769.46,7,1
47,46254.81,20660.18,620.0,1.2,14590.28,1,0
62,72004.11,1000.0,643.0,8.0,2097.6,2,0
48,45910.78,12485.42,591.0,3.5,11518.29,1,0
36,61575.21,14284.05,613.0,6.1,8191.78,14,0
35,55556.06,3184.53,570.0,4.2,9051.8,4,0
64,53492.41,19275.09,616.0,0.2,5793.19,5,1
23,69025.85,1000.0,743.0,8.0,15483.93,11,0
57,45428.4,23775.58,654.0,0.3,4374.58,10,0
27,46388.27,26532.24,847.0,14.3,16324.75,5,0
41,70952.06,33820.68,589.0,1.2,16364.19,2,0
29,35261.49,2405.37,689.0,3.6,10706.67,11,0
59,37395.6,4032.82,668.0,0.3,6122.98,3,0
38,29793.71,20541.38,702.0,11.3,2973.36,4,0
24,71980.22,24461.44,602.0,19.5,0.0,10,0
45,52895.26,21471.62,621.0,0.8,11239.27,6,0
34,28727.7,23637.74,683.0,1.8,1331.03,6,0
29,72076.17,26014.62,610.0,0.1,2171.1,12,1
46,43889.16,16618.0,508.0,7.7,11306.05,2,0
22,37566.44,13299.6,755.0,1.9,5420.69,2,0
40,51086.43,4054.58,721.0,4.4,9305.6,9,0
48,84574.47,12615.16,617.0,0.2,10763.5,12,0
27,47100.76,13840.89,667.0,6.3,17628.2,2,0
64,66506.78,7402.52,731.0,3.8,9191.44,2,0
28,69541.6,14694.21,758.0,6.5,4702.31,3,0
55,63865.47,6500.97,658.0,7.8,7549.53,9,0
34,80421.43,23906.66,603.0,0.5,4532.79,14,0
37,40857.68,18406.6,767.0,4.3,19278.53,6,0
56,34133.3,11323.17,658.0,5.2,10233.4,11,0
60,33740.67,16510.72,638.0,3.6,11508.01,12,0
24,52110.63,6159.28,671.0,1.0,16115.01,6,0
22,36059.07,6970.46,742.0,7.9,2914.1,12,0
26,57950.82,9929.16,647.0,29.9,0.0,10,0
62,56539.77,13464.58,729.0,17.4,7863.56,5,0
24,75371.47,16129.61,633.0,7.5,0.0,7,0
49,60822.89,16161.25,699.0,2.7,5533.37,11,0
38,46676.96,4449.78,574.0,2.1,0.0,4,0
46,63216.98,14354.17,736.0,0.4,0.0,10,0
64,34396.12,8455.56,596.0,2.7,15337.58,10,0
54,54237.19,1000.0,687.0,0.8,10427.82,3,0
30,61388.02,39604.68,531.0,1.5,18785.91,7,0
56,57586.35,8610.79,652.0,11.1,7813.17,14,0
34,63301.3,9054.78,665.0,17.3,7582.81,10,0
51,42119.08,4228.51,595.0,14.8,9292.85,1,0
35,78040.63,6540.06,641.0,1.1,29532.09,6,0
28,91443.38,13490.62,671.0,11.6,14315.63,13,0
34,22946.48,25814.51,695.0,0.8,2956.37,11,0
43,30688.04,13445.21,658.0,3.5,10444.05,11,0
60,55861.66,12411.5,757.0,5.2,8915.39,11,0
41,49868.98,24602.19,743.0,3.1,12325.43,2,0
36,92928.25,10804.83,648.0,15.2,19239.32,2,0
38,59395.69,15169.2,544.0,2.0,11526.65,11,0
44,82850.91,7627.44,611.0,3.7,5775.44,8,0
46,15000.0,28481.07,472.0,0.4,19186.09,3,1
45,71283.39,23388.08,635.0,9.6,164.76,9,0
61,40689.66,13776.1,762.0,2.7,6373.04,4,0
49,40369.15,11804.45,713.0,6.0,13408.75,14,0
35,50032.84,14745.28,657.0,5.7,3256.98,6,0
21,26508.33,13892.94,592.0,5.6,7689.35,1,0
45,63855.71,2625.44,660.0,3.5,3792.06,11,0
27,58814.3,23661.34,820.0,1.6,7769.96,10,0
29,60323.84,13182.9,769.0,4.9,3802.41,10,0
44,72740.62,30186.72,638.0,16.3,8474.27,3,0
21,85295.64,18374.53,531.0,9.0,6022.26,4,0
64,47725.78,1000.0,827.0,0.6,15963.45,5,0
28,64547.01,4747.01,592.0,0.1,10313.0,13,0
44,60859.76,1000.0,692.0,3.5,12428.78,1,0
31,62552.29,4647.62,525.0,7.5,8865.86,14,0
37,62851.95,1931.19,624.0,1.9,5393.47,4,0
28,86810.07,17020.54,525.0,6.0,10008.8,5,0
55,45806.46,12471.32,557.0,13.4,9216.76,4,0
55,24485.28,20924.32,576.0,3.1,0.0,10,1
53,41042.52,14695.2,688.0,1.4,8201.32,10,0
25,70145.34,13077.53,642.0,12.5,12031.77,7,0
62,55466.59,31025.66,850.0,3.2,3703.41,8,0
59,45648.01,16782.58,741.0,2.6,13205.12,12,0
61,33470.05,14355.91,742.0,2.2,10133.55,8,0
48,59425.72,8172.47,690.0,2.7,5619.31,3,0
27,67890.13,5592.69,672.0,5.6,11251.42,13,0
29,61117.44,21164.01,745.0,2.8,5788.45,5,0
28,49933.39,20685.57,460.0,2.0,9660.79,10,0
32,57932.83,27572.63,600.0,6.8,6440.47,8,0
54,57816.86,18831.29,541.0,1.1,11294.03,7,0
53,58793.94,11855.18,499.0,1.1,16080.95,14,0
43,31313.9,19088.08,589.0,6.0,5383.29,9,0
44,58946.53,14357.6,558.0,10.1,13413.36,13,0
57,46188.07,21923.08,746.0,1.4,6206.23,10,1
55,75812.37,25674.65,657.0,1.1,6253.26,7,0
64,57658.37,13651.55,489.0,5.5,5628.41,2,0
60,71709.58,29058.48,675.0,4.8,0.0,4,0
42,48964.37,24506.78,569.0,3.0,11002.14,12,0
47,49685.72,15141.47,655.0,0.5,9704.28,14,0
55,84885.02,20365.95,681.0,0.5,8977.7,12,0
21,63726.7,17443.98,590.0,7.5,17327.12,8,0
55,40709.71,15175.95,667.0,3.0,17987.73,9,0
57,72939.49,30305.16,682.0,9.8,15847.69,7,0
34,44333.91,19140.84,637.0,4.3,6588.03,5,0
23,59513.96,8272.25,592.0,4.8,6283.69,1,0
21,91733.49,6776.24,650.0,13.6,1891.06,9,0
25,26374.35,7103.22,639.0,0.9,8371.02,12,0
46,51484.36,18916.04,675.0,3.9,8049.52,6,0
34,63165.43,12267.89,629.0,0.3,11230.67,2,0
59,70293.97,17666.35,555.0,2.2,1586.92,11,0
47,30175.32,22491.17,636.0,0.8,5754.43,10,0
29,24284.19,31229.71,676.0,1.0,0.0,10,1
35,76814.99,12452.21,665.0,13.7,3703.77,2,0
35,40591.7,3731.6,641.0,4.7,13355.81,10,0
46,39754.35,29339.22,611.0,11.1,1391.45,1,0
62,86004.99,3343.19,607.0,2.9,18463.87,12,0
33,56394.05,3028.57,615.0,4.6,14053.41,4,0
52,56524.76,29131.6,736.0,0.2,11007.45,10,0
59,51404.01,23529.85,574.0,3.2,16001.22,11,0
52,30520.36,18878.72,657.0,4.2,7273.8,13,0
24,68513.94,14600.63,549.0,0.1,3574.85,2,0
50,63189.01,13086.37,711.0,7.8,7424.35,10,0
57,58373.83,9793.39,607.0,1.8,0.0,11,0
43,52673.54,12735.65,584.0,3.0,15144.43,9,0
59,49153.61,14620.68,667.0,3.8,5906.67,2,0
35,73249.67,4004.4,453.0,24.3,3468.76,11,0
63,52174.14,8438.17,546.0,0.5,4162.73,9,0
49,53718.78,1000.0,679.0,4.1,8099.46,1,0
56,65597.86,15623.42,731.0,3.8,8717.74,14,0
33,59159.22,15624.81,686.0,0.4,7123.38,7,0
52,87845.52,29228.12,661.0,5.0,7096.7,6,0
27,19772.66,18004.44,843.0,1.7,11298.56,6,0
42,60998.15,10551.66,689.0,0.5,1407.95,2,0
48,40887.88,13397.16,566.0,1.0,9351.15,1,0
22,36158.27,18894.58,732.0,8.7,6092.82,10,0
62,45858.72,16820.9,599.0,0.5,0.0,8,1
26,56093.59,19626.29,593.0,3.1,1500.18,8,0
48,56981.38,18016.36,540.0,1.1,3248.11,2,0
48,24653.88,12978.85,617.0,0.9,18022.36,4,1
64,44178.32,10713.65,552.0,1.2,10715.02,13,0
64,60624.43,10283.5,695.0,3.4,9625.94,13,0
40,37461.39,7597.83,640.0,1.4,5078.17,4,0
50,32704.32,6343.05,541.0,0.5,4925.91,2,0
31,15000.0,29707.71,644.0,8.1,902.72,11,1
48,41736.13,15997.68,730.0,3.9,6041.54,9,0
45,32007.42,13757.59,780.0,0.9,16253.66,12,0
59,35321.34,11032.93,507.0,3.2,91.3,14,0
53,49563.59,18431.03,588.0,0.4,4481.43,4,0
21,43003.42,24629.31,547.0,4.3,13557.12,4,0
47,31675.24,20786.12,678.0,2.1,13540.85,4,0
33,15000.0,22372.71,537.0,0.5,3676.76,5,1
61,61046.23,10307.77,735.0,1.0,14981.72,10,0
23,70056.54,14966.97,746.0,2.1,5391.82,12,0
59,47065.1,10412.98,715.0,8.2,1104.44,12,0
26,49684.49,15856.25,593.0,1.0,16989.87,8,0
28,55056.21,25180.73,598.0,0.6,8551.76,4,0
47,86575.67,18515.23,613.0,3.6,6992.83,3,0
29,23645.84,28013.71,738.0,4.1,9048.98,11,1
57,46710.21,12691.81,514.0,0.5,2180.45,1,0
53,20560.54,8544.31,681.0,1.7,4628.58,2,0
62,62246.37,19097.03,575.0,1.5,16621.41,4,0
64,52120.83,15950.87,616.0,1.0,19154.8,9,0
44,59059.84,17581.62,709.0,1.9,1320.98,14,1
35,58062.45,16385.76,529.0,0.2,5663.85,1,0
52,74814.17,11124.53,628.0,5.3,8026.33,6,0
52,65762.66,16565.89,640.0,22.3,9204.16,6,0
44,71610.16,22786.96,647.0,5.0,2297.69,10,0
61,33689.31,23608.86,642.0,2.2,11902.64,3,0
32,78863.42,11083.87,695.0,5.5,12355.93,10,0
59,40552.75,16848.05,614.0,4.2,13101.87,9,0
22,41702.61,26816.89,679.0,9.4,12514.78,14,0
23,60416.85,11256.87,676.0,4.9,8487.4,10,0
57,61038.37,9804.43,673.0,5.0,13943.34,3,0
37,33562.86,21355.22,692.0,1.3,11264.4,1,0
22,51534.41,19951.67,673.0,2.7,0.0,2,0
22,84764.71,8304.19,643.0,2.1,0.0,4,0
48,25633.27,3804.32,548.0,0.1,9851.45,4,0
43,84704.38,16692.45,759.0,1.9,15714.91,2,0
57,50166.03,11651.22,786.0,3.3,10676.27,10,0
52,15000.0,1527.39,621.0,4.6,11529.89,6,0
53,27665.37,9502.38,687.0,13.6,1645.46,6,0
21,35730.45,19820.88,606.0,1.4,8404.06,3,0
39,42521.41,13788.71,592.0,0.8,14852.64,1,0
22,52905.73,27528.83,654.0,10.2,10674.87,10,0
64,15000.0,1000.0,850.0,14.2,8627.85,9,0
46,58736.09,25703.94,778.0,3.3,11564.75,4,0
52,33898.19,12248.77,766.0,0.6,9359.25,9,0
26,82810.45,11092.63,692.0,3.3,15047.23,5,0
52,49596.47,2590.45,577.0,0.6,9354.73,7,0
24,73856.92,18720.65,733.0,10.7,7815.51,3,0
31,77206.98,1000.0,423.0,6.2,1715.83,3,0
37,76665.46,21543.23,681.0,1.4,15286.35,8,0
58,43671.87,2893.09,738.0,10.9,2357.49,1,0
44,43416.0,4154.35,662.0,5.1,9424.87,8,0
25,50500.53,5470.28,783.0,15.3,12805.74,8,0
54,67724.75,9272.4,536.0,19.7,18736.01,3,0
26,44786.09,22536.61,778.0,0.0,9359.78,1,0
42,52614.75,27031.65,637.0,0.6,16347.75,9,0
31,60471.88,10099.25,766.0,4.0,8164.32,4,0
36,36902.16,14627.5,732.0,15.6,4637.44,7,0
53,35637.83,18919.34,771.0,25.8,24598.53,9,0
29,51834.72,12365.5,728.0,4.2,691.48,3,0
26,54483.58,18606.06,705.0,1.0,25527.95,5,0
36,63677.71,14967.36,759.0,0.9,17770.2,10,0
49,68437.73,12972.32,654.0,7.2,4551.19,11,0
23,33018.74,3641.47,698.0,4.5,11899.09,13,0
40,38758.3,16192.35,650.0,4.0,0.0,3,0
56,35584.95,22667.01,595.0,3.1,11558.19,5,0
39,83248.95,8773.78,692.0,6.5,9932.6,11,0
46,52594.59,1000.0,666.0,9.8,13198.85,2,0
23,55322.59,12443.59,751.0,1.8,5576.13,4,0
39,56155.49,27078.17,635.0,1.2,8954.15,12,0
40,40686.6,24695.6,589.0,5.5,10857.65,2,0
52,86285.39,10356.3,749.0,12.3,5069.22,3,0
27,63220.53,18644.12,655.0,2.1,16436.57,5,0
61,55791.81,19908.37,587.0,1.6,8780.83,9,0
53,32894.87,26922.7,761.0,1.3,10066.24,3,0
60,31761.35,2595.34,724.0,1.5,3003.33,10,0
59,48821.85,6449.37,798.0,0.7,0.0,6,0
38,41000.16,1000.0,623.0,4.5,0.0,4,0
60,33651.11,9572.73,612.0,1.6,11577.89,4,0
21,47580.84,23530.44,563.0,4.8,3258.26,11,0
